lift to drag ratio,velocity,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
1.5,14600.0,500000.0790815219,128.9633402401896,3529.439049876836,10.040109751464936,292.4786408461701,120.11585715331275,172.50023635002535
1.6,14600.0,499999.9083184675,130.50858975436404,3528.1119633367884,10.52939961159479,295.27518629801494,120.89083239124191,174.40415593800444
1.7000000000000002,14600.0,500000.30097278446,128.38313141533354,3530.3700525397358,10.935210336187428,292.8876764678944,120.36607125652355,172.69414218410742
1.8,14600.0,500000.0081883052,127.21587967549021,3530.9455423479317,11.269876715555096,287.6767256316408,119.19589969978567,168.7519899037315
1.9000000000000001,14600.0,500000.21074880613,126.73631087765534,3531.9592794363552,11.96123010889922,294.7928615892497,120.80126103790565,174.01774172241025
2.0,14600.0,499999.85331287346,127.71771613049623,3530.804725856479,12.502156807682015,295.23550710508084,120.8739136773828,174.36159342769804
0.9,14800.0,478189.58932570816,128.62476515661137,3521.0003637462123,7.570417838107695,305.9736203017508,123.91889297897134,182.49207733332128
1.0,14800.0,499999.9658808141,132.4459749077996,3526.501909776324,8.012300218579105,308.55299764188163,124.41885857546336,184.5288974330238
1.1,14800.0,499999.868654437,132.17582903892526,3526.891959504443,8.352120051283713,306.0975380224199,123.95262780449649,182.49965903069668
1.2000000000000002,14800.0,500000.0498540299,130.97395674123482,3527.540134987577,8.873189425760094,309.1031012057191,124.56601428523487,184.5370869204842
1.3,14800.0,500000.0464581413,130.45631108657426,3528.250406633811,9.30368683868588,310.7078575961118,124.93093179363701,186.18899326047614
1.4000000000000001,14800.0,500000.21091857494,130.1115210073326,3528.8492996797263,9.785675308705594,309.88767108435604,124.72409805481905,185.16357302953702
1.5,14800.0,500000.1508516651,129.05606221288554,3529.85977348393,10.116664442266273,305.48189355522635,123.82711074923618,182.04662448408166
1.6,14800.0,499999.8057494884,127.59263259690715,3531.0057682863703,10.884544742361243,313.6196852003427,125.51524819794871,188.104437002394
