gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-10.245478349700255,10004.831811139291,16029.337296465343,0.8504143050807321,0.9367263200506301,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5080>,False,STEP1_NO_BANK,,,,,,,,
-10.543736747604683,10024.907243163512,15958.441465422888,0.9826313363814989,1.1017345510956538,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5320>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-11.029910394809528,10015.81921767653,16225.441411718202,1.0871625896572266,0.7433788389125968,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5400>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.954267640295042,10034.83470384703,16102.510390562666,1.2104856385121516,0.9493365236625153,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5550>,True,SUCCESS,,,,12.092901537757475,500000.0017223446,59616.73791380505,141.45869933335825,3518.6982219243473
-10.459161605887788,10027.775913609074,16032.152732643452,0.9588355989344697,0.9229600442625256,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF54E0>,False,STEP1_NO_BANK,,,,,,,,
-10.776008360890474,9985.293229576942,16032.858731352137,0.9671138743406231,1.1560063284456237,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF56A0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.068188211030813,10035.98092489981,15977.85751761667,1.050595212116775,0.8957256523861699,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5780>,False,STEP1_NO_BANK,,,,,,,,
-10.894850336238703,9993.267928710855,15926.496228236925,0.9616832523614427,0.8449927435724368,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF55C0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.549565635967351,9997.325303771187,16103.936977403424,1.1294872772431745,1.0450230233316482,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5A20>,True,SUCCESS,409.844968167635,259.87673229507226,151.56245995677898,9.917794208860261,500000.0543772334,59861.83348002733,143.4438170843464,3516.1785928933705
-10.940497001386143,9988.374016899952,16507.31108596403,1.333004936696621,1.044370255360827,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5940>,True,SUCCESS,542.9963115255299,363.08196899043037,181.6977747259334,13.28565339563558,499999.9848053157,59827.43186089732,142.15579871084628,3517.487053192352
-10.349467680811008,10043.745583801197,15893.612163471198,1.0511966300686872,1.0964460381932577,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5B00>,False,STEP1_NO_BANK,,,,,,,,
-10.317048719544562,9996.862945451267,15654.737924671641,1.0749073811758991,0.9204622384449276,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF59B0>,False,STEP1_NO_BANK,,,,,,,,
-10.882307052666036,9983.894150907121,15704.656295705036,0.8262773453614473,1.0269651012679617,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5CC0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.315700134531118,9991.097908398264,16000.343634522405,1.0417906220260322,0.9972075477658539,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5E80>,False,STEP1_NO_BANK,,,,,,,,
-10.91942649721026,10001.12018699591,15903.339620445353,0.9598403854931019,1.1658439894551083,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5E10>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-11.270448790493418,9963.008931914484,15870.177693396829,1.030517844700581,1.1312786905503436,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5F60>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.457946479014769,10008.51977690177,16118.346665863093,0.8354407080146893,1.0331166972325059,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF5FD0>,False,STEP1_NO_BANK,,,,,,,,
-10.788879186218354,10003.048888663718,16159.840089097019,0.9382009605685517,1.000101762188907,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6040>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.307135774678436,9979.657627481904,15653.085976412453,0.8650900238886273,1.2432186357529544,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6200>,False,STEP1_NO_BANK,,,,,,,,
-11.036375647235396,9964.211438775146,15756.244220838244,0.9934523579006528,0.9883436001108461,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF62E0>,True,SUCCESS,428.4744226637041,273.74538017422566,154.80840808948082,8.830008131337234,500000.0507070418,59919.68725066701,123.71276025724728,3534.419996125437
-10.567603607926682,9997.206266549847,16194.693385039409,0.9988810102042436,1.0542594156745866,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF64A0>,True,SUCCESS,392.4243371358426,244.61601868385353,149.06374154985576,8.744127344488675,499999.5491357802,59778.273838395005,133.70159330430715,3525.004648271078
-11.359456105247789,10022.218849157722,15910.468235764392,1.051564452062195,0.9616654446816086,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF63C0>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.495388154865285,10055.024584920324,16012.259756041942,1.00616290142251,0.9557783276788836,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF65F0>,False,STEP1_NO_BANK,,,,,,,,
-10.638439288588586,9947.404252474944,15484.836118962688,0.9891415093652826,0.8837352228868545,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF60B0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.728406827498997,9994.219905614733,16397.2497970461,1.0805766156031715,1.112626658077638,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6820>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-9.903564393778165,10024.12948935248,16103.570923153275,0.9115397375998943,0.9154793867951886,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6890>,False,STEP1_NO_BANK,,,,,,,,
-10.837633795097794,9925.614527576789,16000.365873020597,1.0460930907591035,1.0680439133000534,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6970>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.68259686517409,9961.816687387327,15992.23738289141,0.8819795562165372,0.8795636938912006,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6AC0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.352101848702258,9932.370897930772,15980.32797056471,0.9181304557037062,0.8946170345658087,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6B30>,False,STEP1_NO_BANK,,,,,,,,
-10.643709626775967,10039.211636425505,16455.115250167062,1.0474557625830287,0.9659100508400987,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6C10>,False,STEP2_EXITED_ATMOSPHERE,,,,,,,,
-10.758089327590294,9965.846282445335,16061.199855330433,1.051242474343509,0.8774833338354823,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6D60>,True,SUCCESS,,,,9.609751136079504,500000.0010160206,59695.90083192417,121.22276898935388,3536.6537480371994
-11.141782431409226,10061.266510162177,15887.885904317674,0.9472145286704006,1.1187326126295265,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6C80>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.639860259188891,10019.959916637334,16101.367185737518,0.9813834837287793,1.0053782962126485,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6DD0>,False,STEP1_NO_BANK,,,,,,,,
-11.006475237690609,10058.753434584181,16080.634280433922,0.9744725276261801,0.8656055540508509,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF6EB0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.704485936688439,10030.078408325908,15867.531118025096,1.060250942578345,0.8803581023458171,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF70E0>,False,APOAPSIS_OUT_OF_RANGE,,,,,,,,
-10.695755640287574,10012.283114524183,15994.860787749647,1.0905187333626776,0.9649810666526374,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AAF7000>,True,SUCCESS,482.52197525811323,319.0404694184402,164.1018959507507,10.664969607594664,496160.46531880315,59594.01953521254,139.90966074839662,3517.7908875276553
