lift to drag ratio,gamma,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
1.9000000000000001,-11.0,499999.6821169726,126.81388388069263,3531.7685656433177,14.813229138216297,473.22187024999914,165.1355347634653,309.1209214138766
2.0,-11.0,499999.7150766369,127.71478720034611,3530.830056168994,15.518926023802093,476.53096670616173,166.01675128160952,311.9032302134047
1.1,-11.1,496281.05618366256,136.97113357400076,3520.666672302149,10.315465405263106,479.1015448734014,166.03645845896807,313.0650864144333
1.2000000000000002,-11.1,500000.02966591134,138.23043501621623,3521.286945620375,10.857084114557875,480.1474590221601,166.292056154509,313.951194808257
1.3,-11.1,500000.23164027877,130.02166206769516,3528.980121051308,11.439839964248128,482.4924392602229,166.76246858353213,315.9104231936369
1.4000000000000001,-11.1,499999.85484443116,130.46960948819287,3528.203879769941,12.018550250131762,482.43707602606224,166.76855171603557,315.88098317686064
1.5,-11.1,500000.29987403454,129.05202344340978,3529.8525411440473,12.618283939135308,484.3274051820149,167.20711907820638,317.46634797279773
1.6,-11.1,500000.09864979185,129.9232033440826,3528.4910263720603,13.175579868196076,482.4138012686335,166.87873081490545,315.8909744982894
1.7000000000000002,-11.1,499999.8535030619,128.4249548586572,3530.2678214568405,13.776678054629919,483.76975984539865,167.2688546338326,317.0345260585066
1.8,-11.1,499999.7000610835,127.65436600267003,3530.968784487829,14.305826606890847,480.35709946050724,166.65467878209833,314.2068944790881
1.9000000000000001,-11.1,499999.86422674416,126.98149752179143,3531.3189894687894,14.997426487059858,482.5578658546441,166.98748734304456,316.0428311647437
2.0,-11.1,500000.4826077959,127.66168995890621,3531.096354055504,15.703295823712308,484.77238000054854,167.32128286642913,317.8914347779464
1.3,-11.2,500000.0688501413,130.96256435553687,3527.5385598335424,11.422811303330732,485.162897564613,167.91898887630293,317.24390868831006
1.4000000000000001,-11.2,499999.9128485094,129.945596418474,3529.1644670348924,11.987174015374261,487.57404554587345,168.3133181235158,319.26072742235766
1.5,-11.2,500000.20048211125,129.2484657269597,3529.622555847275,12.560337361239323,487.56777914605505,168.31339784437156,319.25438130168345
1.6,-11.2,499999.8851534658,127.77089919163154,3530.620119782198,13.15113958544557,486.5300493426363,168.13118449922976,318.39886484340656
1.7000000000000002,-11.2,499999.82830051804,128.3955131129087,3530.2952189877346,13.830532111026397,490.4384272873509,168.783729467936,321.65469781941493
1.8,-11.2,500000.06067305227,129.0235449814195,3529.305236753573,14.48051872971626,489.68396191717727,168.64989968447887,321.0340622326984
1.9000000000000001,-11.2,500000.0443324622,127.1842398132485,3531.6163273894635,15.053586401859565,490.34640665411393,168.7654602452271,321.58094640888686
2.0,-11.2,499999.7847840892,127.72566877299187,3530.8007684357467,15.655059058522028,489.66500199745997,168.64448331555067,321.02051868190927
1.3,-11.3,500000.007033518,129.07394629252803,3529.8829890713237,11.538307322107253,489.1462824931524,169.48125517834256,321.13480173767266
1.4000000000000001,-11.3,499999.8254852197,130.24470697169318,3528.8009603620317,12.080539443082074,488.3513038128091,169.0896581692655,320.45969776447436
1.5,-11.3,500000.2328790042,129.09018521306234,3529.7636207381297,12.672541648552784,488.62343047322577,169.4554449942495,320.731964378964
1.6,-11.3,499999.9324248964,128.51914223891936,3529.9510864051895,13.275139748131913,488.98153175029324,169.46826301342796,321.04026475932505
1.7000000000000002,-11.3,500000.3124651216,128.35262246301636,3530.4742628369663,13.864693780946487,489.9802087934819,169.696762055609,320.62641900161134
1.8,-11.3,500000.3135325872,128.4899590591849,3530.329986582897,14.504483718359538,492.4827066443757,170.12076446379905,322.36194218057665
1.9000000000000001,-11.3,499999.783485712,126.76811139494066,3531.826229885934,15.078489994664423,489.65250731058677,169.63268138513877,320.2290241659784
2.0,-11.3,500000.24110179883,127.69815327108654,3530.9942573160606,15.734819092712033,493.1387722462104,170.23378604203248,322.90498620417793
1.2000000000000002,-11.4,499999.85960775206,130.52581231167414,3528.3647747907953,11.069918469803747,496.53476625434405,170.31806020849385,326.21670604585023
1.5,-11.4,499999.9572861707,129.04210105513175,3529.9364651029564,12.766797488825688,497.3664669366842,170.43948159042702,326.9269853462572
