beta,velocity,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
44.5,14200.0,False,,,,,,,
44.5,14300.0,False,,,,,,,
44.5,14400.0,False,,,,,,,
44.5,14500.0,False,,,,,,,
44.5,14600.0,False,,,,,,,
44.5,14700.0,False,,,,,,,
44.5,14800.0,False,,,,,,,
44.5,14900.0,False,,,,,,,
44.5,15000.0,False,,,,,,,
44.5,15100.0,True,500000.04756105604,125.79040571643145,3532.486838839409,7.894762215256936,379.5863089920581,238.90823719585475,140.71280245330126
44.5,15200.0,False,,,,,,,
44.5,15300.0,False,,,,,,,
44.5,15400.0,False,,,,,,,
44.5,15500.0,False,,,,,,,
44.5,15600.0,False,,,,,,,
44.5,15700.0,False,,,,,,,
44.5,15800.0,False,,,,,,,
44.5,15900.0,True,499999.89591306297,125.8524552305289,3532.351280638696,8.738064872059182,469.09540151292947,305.8707766584458,163.56608577348334
44.5,16000.0,True,499999.8909365253,125.84983304100797,3532.3459228637853,8.831400927580153,480.3848432987973,313.92659231895243,166.62710481755755
45.0,14000.0,False,,,,,,,
45.0,14100.0,False,,,,,,,
45.0,14200.0,False,,,,,,,
45.0,14300.0,True,499999.7546445399,124.69458713217728,3533.2238104038925,7.049813641298079,294.63722293193325,174.30901057037138,120.32821236156188
45.0,14400.0,False,,,,,,,
45.0,14500.0,True,499999.890996099,125.32525206216314,3532.820395715944,7.228073154946586,313.3902706864443,188.48690097768,125.02223138734364
45.0,14600.0,False,,,,,,,
45.0,14700.0,False,,,,,,,
45.0,14800.0,False,,,,,,,
45.0,14900.0,False,,,,,,,
45.0,15000.0,False,,,,,,,
45.0,15100.0,False,,,,,,,
45.0,15200.0,False,,,,,,,
45.0,15300.0,False,,,,,,,
45.0,15400.0,False,,,,,,,
45.0,15500.0,False,,,,,,,
45.0,15600.0,False,,,,,,,
45.0,15700.0,False,,,,,,,
45.0,15800.0,False,,,,,,,
45.0,15900.0,True,500000.0739826525,125.69455218618623,3532.8470728675784,8.672460227269958,471.157361524065,307.52612654461774,164.01196116358224
45.0,16000.0,False,,,,,,,
45.5,14000.0,False,,,,,,,
45.5,14100.0,False,,,,,,,
