velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14105.263157894737,-10.564102564102564,True,500000.06592479546,128.0059782270273,3530.7677056855523,6.574549558296456,235.55998528060485,129.89093085405403,105.66905442655082
14105.263157894737,-10.512820512820513,True,499999.97462216765,129.18426830955332,3529.4420419604426,6.324103687951213,226.02424882787435,122.82390674126094,103.2142239457126
14105.263157894737,-10.461538461538462,False,,,,,,,
14105.263157894737,-10.41025641025641,False,,,,,,,
14105.263157894737,-10.35897435897436,False,,,,,,,
14105.263157894737,-10.307692307692308,False,,,,,,,
14105.263157894737,-10.256410256410255,False,,,,,,,
14105.263157894737,-10.205128205128204,False,,,,,,,
14105.263157894737,-10.153846153846153,False,,,,,,,
14105.263157894737,-10.102564102564102,False,,,,,,,
14105.263157894737,-10.051282051282051,False,,,,,,,
14105.263157894737,-10.0,False,,,,,,,
14210.526315789473,-12.0,False,,,,,,,
14210.526315789473,-11.948717948717949,False,,,,,,,
14210.526315789473,-11.897435897435898,False,,,,,,,
14210.526315789473,-11.846153846153847,False,,,,,,,
14210.526315789473,-11.794871794871796,False,,,,,,,
14210.526315789473,-11.743589743589745,False,,,,,,,
14210.526315789473,-11.692307692307692,False,,,,,,,
14210.526315789473,-11.64102564102564,False,,,,,,,
14210.526315789473,-11.58974358974359,False,,,,,,,
14210.526315789473,-11.538461538461538,False,,,,,,,
14210.526315789473,-11.487179487179487,False,,,,,,,
14210.526315789473,-11.435897435897436,False,,,,,,,
14210.526315789473,-11.384615384615385,False,,,,,,,
14210.526315789473,-11.333333333333334,False,,,,,,,
14210.526315789473,-11.282051282051283,False,,,,,,,
14210.526315789473,-11.23076923076923,False,,,,,,,
14210.526315789473,-11.179487179487179,False,,,,,,,
14210.526315789473,-11.128205128205128,False,,,,,,,
14210.526315789473,-11.076923076923077,False,,,,,,,
14210.526315789473,-11.025641025641026,True,499999.84481642337,126.92797429087659,3531.3151400340676,7.2315162353987565,281.9077558033407,164.65074435565543,117.27910081713082
14210.526315789473,-10.974358974358974,True,499999.9398854951,127.11112531420304,3531.6590889640484,7.210354853703769,280.4146391653461,163.45029794926972,116.96434121607639
14210.526315789473,-10.923076923076923,True,499999.8468382493,126.92732169322653,3531.3192812352136,7.186905372526977,276.6056626716287,160.63497968695316,116.08108211843872
14210.526315789473,-10.871794871794872,True,500000.09864748357,126.82673752531309,3531.5527544781794,7.136586911951715,274.0968329436679,158.63704537696478,115.45978756670313
14210.526315789473,-10.820512820512821,True,499999.8785604889,126.77610275242614,3531.6758971639715,7.073331188636367,270.1693491856166,155.78814678917303,114.4417370403724
14210.526315789473,-10.76923076923077,True,499999.86315271514,126.9231980027871,3531.3180299053247,7.069406740943825,266.56273730110354,152.90937819741762,113.65335910368591
14210.526315789473,-10.717948717948719,True,499999.643121168,127.3863271879527,3531.1486028891923,7.030073174350434,263.39575469678607,150.66908347268802,112.72667122409806
14210.526315789473,-10.666666666666666,True,500000.0406381527,126.97160937829449,3531.2341883717827,6.940240313402846,258.0624588657687,146.73411347978552,111.44687869793165
14210.526315789473,-10.615384615384615,True,499999.95309464325,127.63070321086161,3530.767996579703,6.7607184697516525,248.89702009611779,139.8432861802992,109.26220668196142
