gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-10.982780567106172,9998.120948243068,15758.354078904767,1.1264714083363883,0.8244562865964922,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7F50>,True,SUCCESS,568.7381605323247,392.6442118523596,177.015367187348,10.957015768805597,458294.78774110856,59837.63931264274,147.53614079600584,3495.2310641566155
-11.201463235694089,10057.317764523163,15837.575320681814,1.1692953645988293,1.0139851858918283,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A9383D0>,True,SUCCESS,,,,13.492804751636463,450092.1023360387,59985.01534760271,155.7763433158816,3484.1495038434523
-10.916060139596269,10104.361727158677,16043.665789483437,0.9020155483252577,1.039151544645326,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A938830>,True,SUCCESS,512.361646288325,341.3055644263493,171.56682813819066,10.615675262359431,483769.34328173706,59571.43464468342,123.98727563953025,3527.5028469806425
-10.74343236212164,9981.236385184384,15907.495660958168,0.9158563684055963,0.9501222968790545,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A938B40>,True,SUCCESS,,,,8.729177925686383,500000.07483597577,59510.226853260574,129.76410540210827,3528.780959704313
-10.729189002740988,9969.342994554183,16061.832976132251,1.069027831336738,0.9719441197972256,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A938EC0>,True,SUCCESS,,,,10.38669968263699,461123.8833791719,59650.0328836879,145.33073499748934,3498.0385719552146
-10.966412476361123,10004.291671588648,16000.876704739505,1.0192344836092837,1.0083531232784426,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A938D00>,True,SUCCESS,526.5079256704295,352.92206072122633,173.58586494920317,11.199417878854804,499999.4654903839,59757.1336195355,130.6341807874851,3528.3154760940615
-10.77919712401808,10057.803752478992,16034.428687563302,1.224842980816037,0.8786600334473295,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A93BB60>,True,SUCCESS,445.6217217624652,286.76591537868023,159.56216206124097,9.139786697956072,500000.3853661294,59501.687583501,125.09992389476929,3532.89608872271
-11.193052458347873,9968.575630386938,15904.403805925169,1.1187906771897151,1.2274531589399864,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB28440>,True,SUCCESS,471.6747319993475,308.68924047913345,162.98549152021408,12.78960091030176,483680.57548527647,59993.57534048716,142.83023663393942,3510.6366025828065
-10.603489126304456,10053.78610110478,16156.85660953795,0.9172001397533899,0.9409754134155619,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB28360>,True,SUCCESS,452.64349512742393,294.05353949967474,160.25573339578762,8.764493242530138,459264.93033664266,59720.791021626195,128.7982103733857,3512.7974762248855
-10.968554256818429,10001.517943111145,15976.488578854995,0.9081943455168052,0.8448117961519664,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB289F0>,True,SUCCESS,587.9891984117992,404.63639294971694,183.3528054620823,9.908790530050023,477134.3171674861,59947.89854567094,127.77135572396537,3521.3839815777405
